,# Identifier,Cytoplasmic effector,Apoplastic effector,Non-effector,Prediction,Orthogroup
94669,mpi|P68|4800304|Fgenesh_Torrubiella_hemipterigena|contig_48_gene_304,-,Y (0.594),-,Apoplastic effector,OG0002443
97040,mpi|P6|17001003|Fgenesh_Torrubiella_hemipterigena|contig_17_gene_1003,-,Y (0.586),-,Apoplastic effector,OG0002443
97590,mpi|P7|5600159|Fgenesh_Torrubiella_hemipterigena|contig_56_gene_159,-,Y (0.566),-,Apoplastic effector,OG0002443
98899,mpi|P8|1200740|Fgenesh_Torrubiella_hemipterigena|contig_12_gene_740,-,Y (0.579),-,Apoplastic effector,OG0002443
836,mpi|P10|400764|Fgenesh_Torrubiella_hemipterigena|contig_4_gene_764,Y (0.643),-,-,Cytoplasmic effector,OG0002467
1681,jgi|P117|199415|fgenesh1_pg.5_#_98,Y (0.667),-,-,Cytoplasmic effector,OG0002467
4124,mpi|P11|900778|Fgenesh_Torrubiella_hemipterigena|contig_9_gene_778,Y (0.643),-,-,Cytoplasmic effector,OG0002467
5151,mpi|P12|800777|Fgenesh_Torrubiella_hemipterigena|contig_8_gene_777,Y (0.644),-,-,Cytoplasmic effector,OG0002467
6259,mpi|P13|1400254|Fgenesh_Torrubiella_hemipterigena|contig_14_gene_254,Y (0.644),-,-,Cytoplasmic effector,OG0002467
7852,mpi|P143|2400782|Fgenesh_Torrubiella_hemipterigena|contig_24_gene_782,Y (0.627),-,-,Cytoplasmic effector,OG0002467
8656,mpi|P14|190095|Fgenesh_Torrubiella_hemipterigena|contig_19_gene_95,Y (0.643),-,-,Cytoplasmic effector,OG0002467
10852,mpi|P15|1700253|Fgenesh_Torrubiella_hemipterigena|contig_17_gene_253,Y (0.643),-,-,Cytoplasmic effector,OG0002467
11775,jgi|P16|292962|fgenesh1_pg.1_#_717,Y (0.643),-,-,Cytoplasmic effector,OG0002467
13872,mpi|P17|63001604|Fgenesh_Torrubiella_hemipterigena|contig_63_gene_1604,Y (0.643),-,-,Cytoplasmic effector,OG0002467
15244,mpi|P18|3700893|Fgenesh_Torrubiella_hemipterigena|contig_37_gene_893,Y (0.64),-,-,Cytoplasmic effector,OG0002467
16529,mpi|P19|170031|Fgenesh_Torrubiella_hemipterigena|contig_17_gene_31,Y (0.64),-,-,Cytoplasmic effector,OG0002467
17161,mpi|P1|1100781|Fgenesh_Torrubiella_hemipterigena|contig_11_gene_781,Y (0.644),-,-,Cytoplasmic effector,OG0002467
19213,mpi|P20|1160099|Fgenesh_Torrubiella_hemipterigena|contig_116_gene_99,Y (0.643),-,-,Cytoplasmic effector,OG0002467
20807,mpi|P21|7001172|Fgenesh_Torrubiella_hemipterigena|contig_7_gene_1172,Y (0.641),-,-,Cytoplasmic effector,OG0002467
21652,mpi|P22|1800151|Fgenesh_Torrubiella_hemipterigena|contig_18_gene_151,Y (0.643),-,-,Cytoplasmic effector,OG0002467
23697,mpi|P23|4200259|Fgenesh_Torrubiella_hemipterigena|contig_42_gene_259,Y (0.523),-,-,Cytoplasmic effector,OG0002467
24913,mpi|P24|40001446|Fgenesh_Torrubiella_hemipterigena|contig_40_gene_1446,Y (0.643),-,-,Cytoplasmic effector,OG0002467
26166,mpi|P25|300119|Fgenesh_Torrubiella_hemipterigena|contig_3_gene_119,Y (0.643),-,-,Cytoplasmic effector,OG0002467
27787,mpi|P26|1800251|Fgenesh_Torrubiella_hemipterigena|contig_18_gene_251,Y (0.629),-,-,Cytoplasmic effector,OG0002467
28444,mpi|P27|1500110|Fgenesh_Torrubiella_hemipterigena|contig_15_gene_110,Y (0.633),-,-,Cytoplasmic effector,OG0002467
30771,mpi|P28|500433|Fgenesh_Torrubiella_hemipterigena|contig_5_gene_433,Y (0.643),-,-,Cytoplasmic effector,OG0002467
31992,mpi|P29|100041|Fgenesh_Torrubiella_hemipterigena|contig_10_gene_41,Y (0.643),-,-,Cytoplasmic effector,OG0002467
33156,mpi|P2|1000926|Fgenesh_Torrubiella_hemipterigena|contig_10_gene_926,Y (0.639),-,-,Cytoplasmic effector,OG0002467
35319,mpi|P30|1002155|Fgenesh_Torrubiella_hemipterigena|scaffold_1_gene_2155,Y (0.688),-,-,Cytoplasmic effector,OG0002467
36204,mpi|P31|1800764|Fgenesh_Torrubiella_hemipterigena|contig_18_gene_764,Y (0.605),-,-,Cytoplasmic effector,OG0002467
37267,mpi|P32|110096|Fgenesh_Torrubiella_hemipterigena|contig_11_gene_96,Y (0.643),-,-,Cytoplasmic effector,OG0002467
39095,mpi|P33|1100824|Fgenesh_Torrubiella_hemipterigena|contig_11_gene_824,Y (0.643),-,-,Cytoplasmic effector,OG0002467
39908,mpi|P340|200759|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_759,Y (0.643),-,-,Cytoplasmic effector,OG0002467
41777,mpi|P34|500274|Fgenesh_Torrubiella_hemipterigena|contig_5_gene_274,Y (0.643),-,-,Cytoplasmic effector,OG0002467
43408,mpi|P35|1200769|Fgenesh_Torrubiella_hemipterigena|contig_12_gene_769,Y (0.643),-,-,Cytoplasmic effector,OG0002467
44555,mpi|P36|2500767|Fgenesh_Torrubiella_hemipterigena|contig_25_gene_767,Y (0.643),-,-,Cytoplasmic effector,OG0002467
45329,mpi|P38|230096|Fgenesh_Torrubiella_hemipterigena|contig_23_gene_96,Y (0.643),-,-,Cytoplasmic effector,OG0002467
47693,mpi|P39|3600443|Fgenesh_Torrubiella_hemipterigena|contig_36_gene_443,Y (0.64),-,-,Cytoplasmic effector,OG0002467
48587,mpi|P3|1600299|Fgenesh_Torrubiella_hemipterigena|contig_16_gene_299,Y (0.644),-,-,Cytoplasmic effector,OG0002467
50289,mpi|P40|1400252|Fgenesh_Torrubiella_hemipterigena|contig_14_gene_252,Y (0.642),-,-,Cytoplasmic effector,OG0002467
51993,mpi|P41|2800696|Fgenesh_Torrubiella_hemipterigena|contig_28_gene_696,Y (0.633),-,-,Cytoplasmic effector,OG0002467
53132,mpi|P421|33001640|Fgenesh_Torrubiella_hemipterigena|contig_33_gene_1640,Y (0.636),-,-,Cytoplasmic effector,OG0002467
54184,mpi|P42|100669|Fgenesh_Torrubiella_hemipterigena|contig_1_gene_669,Y (0.646),-,-,Cytoplasmic effector,OG0002467
55863,mpi|P43|2800758|Fgenesh_Torrubiella_hemipterigena|contig_28_gene_758,Y (0.636),-,-,Cytoplasmic effector,OG0002467
57817,mpi|P44|7001618|Fgenesh_Torrubiella_hemipterigena|contig_7_gene_1618,Y (0.643),-,-,Cytoplasmic effector,OG0002467
58647,mpi|P455|900758|Fgenesh_Torrubiella_hemipterigena|contig_9_gene_758,Y (0.643),-,-,Cytoplasmic effector,OG0002467
60561,mpi|P45|21001618|Fgenesh_Torrubiella_hemipterigena|contig_21_gene_1618,Y (0.643),-,-,Cytoplasmic effector,OG0002467
61949,mpi|P46|1300723|Fgenesh_Torrubiella_hemipterigena|contig_13_gene_723,Y (0.639),-,-,Cytoplasmic effector,OG0002467
63200,mpi|P47|500756|Fgenesh_Torrubiella_hemipterigena|contig_5_gene_756,Y (0.643),-,-,Cytoplasmic effector,OG0002467
64072,mpi|P48|700254|Fgenesh_Torrubiella_hemipterigena|contig_7_gene_254,Y (0.643),-,-,Cytoplasmic effector,OG0002467
65378,mpi|P49|400258|Fgenesh_Torrubiella_hemipterigena|contig_4_gene_258,Y (0.641),-,-,Cytoplasmic effector,OG0002467
66658,mpi|P4|1700371|Fgenesh_Torrubiella_hemipterigena|contig_17_gene_371,Y (0.643),-,-,Cytoplasmic effector,OG0002467
69025,mpi|P50|14001847|Fgenesh_Torrubiella_hemipterigena|contig_14_gene_1847,Y (0.643),-,-,Cytoplasmic effector,OG0002467
69823,mpi|P51|2000636|Fgenesh_Torrubiella_hemipterigena|contig_20_gene_636,Y (0.643),-,-,Cytoplasmic effector,OG0002467
71255,mpi|P52|2700479|Fgenesh_Torrubiella_hemipterigena|contig_27_gene_479,Y (0.643),-,-,Cytoplasmic effector,OG0002467
73242,mpi|P54|3200851|Fgenesh_Torrubiella_hemipterigena|contig_32_gene_851,Y (0.65),-,-,Cytoplasmic effector,OG0002467
74625,mpi|P55|2000248|Fgenesh_Torrubiella_hemipterigena|contig_20_gene_248,Y (0.659),-,-,Cytoplasmic effector,OG0002467
76112,mpi|P56|1900851|Fgenesh_Torrubiella_hemipterigena|contig_19_gene_851,Y (0.65),-,-,Cytoplasmic effector,OG0002467
77123,mpi|P57|1400766|Fgenesh_Torrubiella_hemipterigena|contig_14_gene_766,Y (0.65),-,-,Cytoplasmic effector,OG0002467
78394,mpi|P58|700884|Fgenesh_Torrubiella_hemipterigena|contig_7_gene_884,Y (0.65),-,-,Cytoplasmic effector,OG0002467
79836,mpi|P59|2500779|Fgenesh_Torrubiella_hemipterigena|contig_25_gene_779,Y (0.654),-,-,Cytoplasmic effector,OG0002467
81523,mpi|P5|3400710|Fgenesh_Torrubiella_hemipterigena|contig_34_gene_710,Y (0.634),-,-,Cytoplasmic effector,OG0002467
82179,mpi|P60|4900445|Fgenesh_Torrubiella_hemipterigena|contig_49_gene_445,Y (0.643),-,-,Cytoplasmic effector,OG0002467
83559,mpi|P612|5000339|Fgenesh_Torrubiella_hemipterigena|contig_50_gene_339,Y (0.64),-,-,Cytoplasmic effector,OG0002467
86007,mpi|P61|10001779|Fgenesh_Torrubiella_hemipterigena|contig_10_gene_1779,Y (0.643),-,-,Cytoplasmic effector,OG0002467
87435,mpi|P62|20001847|Fgenesh_Torrubiella_hemipterigena|contig_20_gene_1847,Y (0.65),-,-,Cytoplasmic effector,OG0002467
88872,mpi|P63|900766|Fgenesh_Torrubiella_hemipterigena|contig_9_gene_766,Y (0.646),-,-,Cytoplasmic effector,OG0002467
89384,mpi|P64|4700180|Fgenesh_Torrubiella_hemipterigena|contig_47_gene_180,Y (0.792),-,-,Cytoplasmic effector,OG0002467
90489,mpi|P65|200339|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_339,Y (0.643),-,-,Cytoplasmic effector,OG0002467
92181,mpi|P66|14001020|Fgenesh_Torrubiella_hemipterigena|contig_14_gene_1020,Y (0.658),-,-,Cytoplasmic effector,OG0002467
94111,mpi|P67|1000775|Fgenesh_Torrubiella_hemipterigena|contig_10_gene_775,Y (0.605),-,-,Cytoplasmic effector,OG0002467
95493,mpi|P68|6001157|Fgenesh_Torrubiella_hemipterigena|contig_6_gene_1157,Y (0.64),-,-,Cytoplasmic effector,OG0002467
97037,mpi|P6|1700968|Fgenesh_Torrubiella_hemipterigena|contig_17_gene_968,Y (0.638),-,-,Cytoplasmic effector,OG0002467
97587,mpi|P7|5600127|Fgenesh_Torrubiella_hemipterigena|contig_56_gene_127,Y (0.643),-,-,Cytoplasmic effector,OG0002467
98902,mpi|P8|1200773|Fgenesh_Torrubiella_hemipterigena|contig_12_gene_773,Y (0.644),-,-,Cytoplasmic effector,OG0002467
101139,mpi|P9|3600549|Fgenesh_Torrubiella_hemipterigena|contig_36_gene_549,Y (0.605),-,-,Cytoplasmic effector,OG0002467
839,mpi|P10|400773|Fgenesh_Torrubiella_hemipterigena|contig_4_gene_773,Y (0.547),Y (0.76),-,Apoplastic/cytoplasmic effector,OG0002473
1827,jgi|P117|212320|fgenesh1_kg.5_#_232_#_TRINITY_DN8469_c0_g2_i1,-,Y (0.889),-,Apoplastic effector,OG0002473
4127,mpi|P11|900788|Fgenesh_Torrubiella_hemipterigena|contig_9_gene_788,Y (0.547),Y (0.76),-,Apoplastic/cytoplasmic effector,OG0002473
5154,mpi|P12|800785|Fgenesh_Torrubiella_hemipterigena|contig_8_gene_785,Y (0.547),Y (0.76),-,Apoplastic/cytoplasmic effector,OG0002473
6262,mpi|P13|1400263|Fgenesh_Torrubiella_hemipterigena|contig_14_gene_263,Y (0.547),Y (0.76),-,Apoplastic/cytoplasmic effector,OG0002473
7855,mpi|P143|2400791|Fgenesh_Torrubiella_hemipterigena|contig_24_gene_791,Y (0.512),Y (0.828),-,Apoplastic/cytoplasmic effector,OG0002473
8659,mpi|P14|1900104|Fgenesh_Torrubiella_hemipterigena|contig_19_gene_104,Y (0.512),Y (0.828),-,Apoplastic/cytoplasmic effector,OG0002473
10855,mpi|P15|1700262|Fgenesh_Torrubiella_hemipterigena|contig_17_gene_262,Y (0.512),Y (0.828),-,Apoplastic/cytoplasmic effector,OG0002473
12656,jgi|P16|7516|CE7515_846,Y (0.512),Y (0.828),-,Apoplastic/cytoplasmic effector,OG0002473
13869,mpi|P17|63001596|Fgenesh_Torrubiella_hemipterigena|contig_63_gene_1596,Y (0.512),Y (0.828),-,Apoplastic/cytoplasmic effector,OG0002473
15242,mpi|P18|3700886|Fgenesh_Torrubiella_hemipterigena|contig_37_gene_886,Y (0.512),Y (0.828),-,Apoplastic/cytoplasmic effector,OG0002473
16531,mpi|P19|170038|Fgenesh_Torrubiella_hemipterigena|contig_17_gene_38,Y (0.512),Y (0.828),-,Apoplastic/cytoplasmic effector,OG0002473
17164,mpi|P1|1100790|Fgenesh_Torrubiella_hemipterigena|contig_11_gene_790,Y (0.547),Y (0.76),-,Apoplastic/cytoplasmic effector,OG0002473
19210,mpi|P20|1160091|Fgenesh_Torrubiella_hemipterigena|contig_116_gene_91,Y (0.514),Y (0.83),-,Apoplastic/cytoplasmic effector,OG0002473
20804,mpi|P21|7001164|Fgenesh_Torrubiella_hemipterigena|contig_7_gene_1164,Y (0.544),Y (0.761),-,Apoplastic/cytoplasmic effector,OG0002473
21649,mpi|P22|1800142|Fgenesh_Torrubiella_hemipterigena|contig_18_gene_142,Y (0.514),Y (0.83),-,Apoplastic/cytoplasmic effector,OG0002473
23700,mpi|P23|4200268|Fgenesh_Torrubiella_hemipterigena|contig_42_gene_268,Y (0.514),Y (0.706),-,Apoplastic/cytoplasmic effector,OG0002473
24910,mpi|P24|40001438|Fgenesh_Torrubiella_hemipterigena|contig_40_gene_1438,Y (0.512),Y (0.828),-,Apoplastic/cytoplasmic effector,OG0002473
26169,mpi|P25|300128|Fgenesh_Torrubiella_hemipterigena|contig_3_gene_128,Y (0.512),Y (0.828),-,Apoplastic/cytoplasmic effector,OG0002473
27790,mpi|P26|1800259|Fgenesh_Torrubiella_hemipterigena|contig_18_gene_259,Y (0.515),Y (0.827),-,Apoplastic/cytoplasmic effector,OG0002473
28441,mpi|P27|1500102|Fgenesh_Torrubiella_hemipterigena|contig_15_gene_102,Y (0.515),Y (0.827),-,Apoplastic/cytoplasmic effector,OG0002473
30768,mpi|P28|500424|Fgenesh_Torrubiella_hemipterigena|contig_5_gene_424,Y (0.512),Y (0.828),-,Apoplastic/cytoplasmic effector,OG0002473
31995,mpi|P29|100049|Fgenesh_Torrubiella_hemipterigena|contig_10_gene_49,Y (0.512),Y (0.828),-,Apoplastic/cytoplasmic effector,OG0002473
35322,mpi|P30|1002163|Fgenesh_Torrubiella_hemipterigena|scaffold_1_gene_2163,Y (0.504),Y (0.862),-,Apoplastic/cytoplasmic effector,OG0002473
36207,mpi|P31|1800774|Fgenesh_Torrubiella_hemipterigena|contig_18_gene_774,Y (0.547),Y (0.76),-,Apoplastic/cytoplasmic effector,OG0002473
37270,mpi|P32|1100105|Fgenesh_Torrubiella_hemipterigena|contig_11_gene_105,Y (0.512),Y (0.828),-,Apoplastic/cytoplasmic effector,OG0002473
39092,mpi|P33|1100817|Fgenesh_Torrubiella_hemipterigena|contig_11_gene_817,Y (0.512),Y (0.828),-,Apoplastic/cytoplasmic effector,OG0002473
39911,mpi|P340|200768|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_768,Y (0.512),Y (0.828),-,Apoplastic/cytoplasmic effector,OG0002473
41780,mpi|P34|500282|Fgenesh_Torrubiella_hemipterigena|contig_5_gene_282,Y (0.512),Y (0.828),-,Apoplastic/cytoplasmic effector,OG0002473
43411,mpi|P35|1200777|Fgenesh_Torrubiella_hemipterigena|contig_12_gene_777,Y (0.512),Y (0.828),-,Apoplastic/cytoplasmic effector,OG0002473
44558,mpi|P36|2500775|Fgenesh_Torrubiella_hemipterigena|contig_25_gene_775,Y (0.512),Y (0.828),-,Apoplastic/cytoplasmic effector,OG0002473
45332,mpi|P38|2300105|Fgenesh_Torrubiella_hemipterigena|contig_23_gene_105,Y (0.512),Y (0.828),-,Apoplastic/cytoplasmic effector,OG0002473
47690,mpi|P39|3600434|Fgenesh_Torrubiella_hemipterigena|contig_36_gene_434,Y (0.512),Y (0.828),-,Apoplastic/cytoplasmic effector,OG0002473
48584,mpi|P3|1600290|Fgenesh_Torrubiella_hemipterigena|contig_16_gene_290,Y (0.547),Y (0.76),-,Apoplastic/cytoplasmic effector,OG0002473
50292,mpi|P40|1400262|Fgenesh_Torrubiella_hemipterigena|contig_14_gene_262,Y (0.504),Y (0.893),-,Apoplastic/cytoplasmic effector,OG0002473
51990,mpi|P41|2800688|Fgenesh_Torrubiella_hemipterigena|contig_28_gene_688,Y (0.515),Y (0.827),-,Apoplastic/cytoplasmic effector,OG0002473
53129,mpi|P421|33001631|Fgenesh_Torrubiella_hemipterigena|contig_33_gene_1631,-,Y (0.864),-,Apoplastic effector,OG0002473
54187,mpi|P42|100677|Fgenesh_Torrubiella_hemipterigena|contig_1_gene_677,Y (0.512),Y (0.828),-,Apoplastic/cytoplasmic effector,OG0002473
55866,mpi|P43|2800766|Fgenesh_Torrubiella_hemipterigena|contig_28_gene_766,Y (0.512),Y (0.828),-,Apoplastic/cytoplasmic effector,OG0002473
57814,mpi|P44|7001609|Fgenesh_Torrubiella_hemipterigena|contig_7_gene_1609,Y (0.512),Y (0.828),-,Apoplastic/cytoplasmic effector,OG0002473
58650,mpi|P455|900767|Fgenesh_Torrubiella_hemipterigena|contig_9_gene_767,Y (0.512),Y (0.828),-,Apoplastic/cytoplasmic effector,OG0002473
60558,mpi|P45|21001609|Fgenesh_Torrubiella_hemipterigena|contig_21_gene_1609,Y (0.512),Y (0.828),-,Apoplastic/cytoplasmic effector,OG0002473
61952,mpi|P46|1300733|Fgenesh_Torrubiella_hemipterigena|contig_13_gene_733,Y (0.511),Y (0.796),-,Apoplastic/cytoplasmic effector,OG0002473
63203,mpi|P47|500764|Fgenesh_Torrubiella_hemipterigena|contig_5_gene_764,-,Y (0.864),-,Apoplastic effector,OG0002473
64075,mpi|P48|700263|Fgenesh_Torrubiella_hemipterigena|contig_7_gene_263,Y (0.512),Y (0.828),-,Apoplastic/cytoplasmic effector,OG0002473
65381,mpi|P49|400268|Fgenesh_Torrubiella_hemipterigena|contig_4_gene_268,Y (0.52),Y (0.831),-,Apoplastic/cytoplasmic effector,OG0002473
66655,mpi|P4|1700362|Fgenesh_Torrubiella_hemipterigena|contig_17_gene_362,Y (0.512),Y (0.828),-,Apoplastic/cytoplasmic effector,OG0002473
69022,mpi|P50|14001838|Fgenesh_Torrubiella_hemipterigena|contig_14_gene_1838,Y (0.505),Y (0.821),-,Apoplastic/cytoplasmic effector,OG0002473
69820,mpi|P51|2000628|Fgenesh_Torrubiella_hemipterigena|contig_20_gene_628,Y (0.512),Y (0.828),-,Apoplastic/cytoplasmic effector,OG0002473
71258,mpi|P52|2700488|Fgenesh_Torrubiella_hemipterigena|contig_27_gene_488,Y (0.512),Y (0.828),-,Apoplastic/cytoplasmic effector,OG0002473
73239,mpi|P54|3200842|Fgenesh_Torrubiella_hemipterigena|contig_32_gene_842,Y (0.512),Y (0.828),-,Apoplastic/cytoplasmic effector,OG0002473
74628,mpi|P55|2000257|Fgenesh_Torrubiella_hemipterigena|contig_20_gene_257,Y (0.547),Y (0.76),-,Apoplastic/cytoplasmic effector,OG0002473
76109,mpi|P56|1900842|Fgenesh_Torrubiella_hemipterigena|contig_19_gene_842,Y (0.512),Y (0.828),-,Apoplastic/cytoplasmic effector,OG0002473
77125,mpi|P57|1400775|Fgenesh_Torrubiella_hemipterigena|contig_14_gene_775,Y (0.547),Y (0.76),-,Apoplastic/cytoplasmic effector,OG0002473
78392,mpi|P58|700875|Fgenesh_Torrubiella_hemipterigena|contig_7_gene_875,Y (0.547),Y (0.76),-,Apoplastic/cytoplasmic effector,OG0002473
79839,mpi|P59|2500788|Fgenesh_Torrubiella_hemipterigena|contig_25_gene_788,Y (0.512),Y (0.828),-,Apoplastic/cytoplasmic effector,OG0002473
81520,mpi|P5|3400702|Fgenesh_Torrubiella_hemipterigena|contig_34_gene_702,Y (0.512),Y (0.828),-,Apoplastic/cytoplasmic effector,OG0002473
82176,mpi|P60|4900436|Fgenesh_Torrubiella_hemipterigena|contig_49_gene_436,Y (0.547),Y (0.76),-,Apoplastic/cytoplasmic effector,OG0002473
83562,mpi|P612|5000348|Fgenesh_Torrubiella_hemipterigena|contig_50_gene_348,Y (0.512),Y (0.828),-,Apoplastic/cytoplasmic effector,OG0002473
86004,mpi|P61|10001770|Fgenesh_Torrubiella_hemipterigena|contig_10_gene_1770,Y (0.512),Y (0.828),-,Apoplastic/cytoplasmic effector,OG0002473
87433,mpi|P62|20001838|Fgenesh_Torrubiella_hemipterigena|contig_20_gene_1838,Y (0.547),Y (0.76),-,Apoplastic/cytoplasmic effector,OG0002473
88875,mpi|P63|900775|Fgenesh_Torrubiella_hemipterigena|contig_9_gene_775,Y (0.512),Y (0.828),-,Apoplastic/cytoplasmic effector,OG0002473
89382,mpi|P64|4700173|Fgenesh_Torrubiella_hemipterigena|contig_47_gene_173,Y (0.551),Y (0.777),-,Apoplastic/cytoplasmic effector,OG0002473
90486,mpi|P65|200331|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_331,Y (0.505),Y (0.826),-,Apoplastic/cytoplasmic effector,OG0002473
92184,mpi|P66|14001029|Fgenesh_Torrubiella_hemipterigena|contig_14_gene_1029,Y (0.512),Y (0.828),-,Apoplastic/cytoplasmic effector,OG0002473
94114,mpi|P67|1000786|Fgenesh_Torrubiella_hemipterigena|contig_10_gene_786,Y (0.547),Y (0.76),-,Apoplastic/cytoplasmic effector,OG0002473
95491,mpi|P68|6001150|Fgenesh_Torrubiella_hemipterigena|contig_6_gene_1150,Y (0.512),Y (0.828),-,Apoplastic/cytoplasmic effector,OG0002473
97035,mpi|P6|1700961|Fgenesh_Torrubiella_hemipterigena|contig_17_gene_961,Y (0.512),Y (0.828),-,Apoplastic/cytoplasmic effector,OG0002473
97584,mpi|P7|5600119|Fgenesh_Torrubiella_hemipterigena|contig_56_gene_119,Y (0.514),Y (0.83),-,Apoplastic/cytoplasmic effector,OG0002473
98905,mpi|P8|1200782|Fgenesh_Torrubiella_hemipterigena|contig_12_gene_782,Y (0.544),Y (0.761),-,Apoplastic/cytoplasmic effector,OG0002473
101136,mpi|P9|3600540|Fgenesh_Torrubiella_hemipterigena|contig_36_gene_540,Y (0.503),Y (0.815),-,Apoplastic/cytoplasmic effector,OG0002473
2094,jgi|P117|244934|gm1.6624_g,-,Y (0.594),-,Apoplastic effector,OG0002601
8557,mpi|P14|10095|Fgenesh_Torrubiella_hemipterigena|contig_1_gene_95,-,Y (0.674),-,Apoplastic effector,OG0002601
12047,jgi|P16|321287|estExt_fgenesh1_pg.C_6_t10073,-,Y (0.758),-,Apoplastic effector,OG0002601
18779,mpi|P20|12000135|Fgenesh_Torrubiella_hemipterigena|contig_120_gene_135,-,Y (0.584),-,Apoplastic effector,OG0002601
20279,mpi|P21|20087|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_87,-,Y (0.727),-,Apoplastic effector,OG0002601
30231,mpi|P28|800186|Fgenesh_Torrubiella_hemipterigena|contig_8_gene_186,-,Y (0.674),-,Apoplastic effector,OG0002601
32569,mpi|P2|2300179|Fgenesh_Torrubiella_hemipterigena|contig_23_gene_179,-,Y (0.574),-,Apoplastic effector,OG0002601
34978,mpi|P30|2001065|Fgenesh_Torrubiella_hemipterigena|scaffold_2_gene_1065,-,Y (0.6),-,Apoplastic effector,OG0002601
42789,mpi|P35|260093|Fgenesh_Torrubiella_hemipterigena|contig_26_gene_93,-,Y (0.674),-,Apoplastic effector,OG0002601
48454,mpi|P3|110086|Fgenesh_Torrubiella_hemipterigena|contig_11_gene_86,-,Y (0.758),-,Apoplastic effector,OG0002601
60836,mpi|P46|5800200|Fgenesh_Torrubiella_hemipterigena|contig_58_gene_200,-,Y (0.574),-,Apoplastic effector,OG0002601
62206,mpi|P47|200091|Fgenesh_Torrubiella_hemipterigena|contig_20_gene_91,-,Y (0.732),-,Apoplastic effector,OG0002601
65394,mpi|P49|70090|Fgenesh_Torrubiella_hemipterigena|contig_7_gene_90,-,Y (0.763),-,Apoplastic effector,OG0002601
67977,mpi|P50|1600198|Fgenesh_Torrubiella_hemipterigena|contig_16_gene_198,-,Y (0.758),-,Apoplastic effector,OG0002601
89287,mpi|P64|500154|Fgenesh_Torrubiella_hemipterigena|contig_5_gene_154,-,Y (0.784),-,Apoplastic effector,OG0002601
93069,mpi|P67|1900336|Fgenesh_Torrubiella_hemipterigena|contig_19_gene_336,-,Y (0.831),-,Apoplastic effector,OG0002601
98256,mpi|P7|2800659|Fgenesh_Torrubiella_hemipterigena|contig_28_gene_659,-,Y (0.574),-,Apoplastic effector,OG0002601
99172,mpi|P8|900813|Fgenesh_Torrubiella_hemipterigena|contig_9_gene_813,-,Y (0.555),-,Apoplastic effector,OG0002601
472,mpi|P10|3800329|Fgenesh_Torrubiella_hemipterigena|contig_38_gene_329,Y (0.543),-,-,Cytoplasmic effector,OG0002741
2860,mpi|P11|2000115|Fgenesh_Torrubiella_hemipterigena|contig_20_gene_115,Y (0.543),-,-,Cytoplasmic effector,OG0002741
4294,mpi|P12|210049|Fgenesh_Torrubiella_hemipterigena|contig_21_gene_49,Y (0.543),-,-,Cytoplasmic effector,OG0002741
6907,mpi|P13|3800610|Fgenesh_Torrubiella_hemipterigena|contig_38_gene_610,Y (0.543),-,-,Cytoplasmic effector,OG0002741
7158,mpi|P143|200333|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_333,Y (0.546),-,-,Cytoplasmic effector,OG0002741
8632,mpi|P14|210074|Fgenesh_Torrubiella_hemipterigena|contig_21_gene_74,Y (0.546),-,-,Cytoplasmic effector,OG0002741
10582,mpi|P15|1600224|Fgenesh_Torrubiella_hemipterigena|contig_16_gene_224,Y (0.546),-,-,Cytoplasmic effector,OG0002741
11388,jgi|P16|133090|CE133089_2199,Y (0.546),-,-,Cytoplasmic effector,OG0002741
13281,mpi|P17|8400604|Fgenesh_Torrubiella_hemipterigena|contig_84_gene_604,Y (0.552),-,-,Cytoplasmic effector,OG0002741
14844,mpi|P18|800074|Fgenesh_Torrubiella_hemipterigena|contig_80_gene_74,Y (0.546),-,-,Cytoplasmic effector,OG0002741
16405,mpi|P19|640049|Fgenesh_Torrubiella_hemipterigena|contig_64_gene_49,Y (0.546),-,-,Cytoplasmic effector,OG0002741
17199,mpi|P1|900330|Fgenesh_Torrubiella_hemipterigena|contig_9_gene_330,Y (0.543),-,-,Cytoplasmic effector,OG0002741
18861,mpi|P20|1400549|Fgenesh_Torrubiella_hemipterigena|contig_14_gene_549,Y (0.543),-,-,Cytoplasmic effector,OG0002741
20292,mpi|P21|200323|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_323,Y (0.543),-,-,Cytoplasmic effector,OG0002741
22132,mpi|P22|300624|Fgenesh_Torrubiella_hemipterigena|contig_3_gene_624,Y (0.543),-,-,Cytoplasmic effector,OG0002741
23168,mpi|P23|2700405|Fgenesh_Torrubiella_hemipterigena|contig_27_gene_405,Y (0.543),-,-,Cytoplasmic effector,OG0002741
24226,mpi|P24|350047|Fgenesh_Torrubiella_hemipterigena|contig_35_gene_47,Y (0.546),-,-,Cytoplasmic effector,OG0002741
25951,mpi|P25|6800330|Fgenesh_Torrubiella_hemipterigena|contig_68_gene_330,Y (0.546),-,-,Cytoplasmic effector,OG0002741
